# Full ACT covariance matrix for the standard variant with CMB marginalization (not for use with CMB 2-point spectra)
1.945483836362649446e-15 1.244359739372427098e-16 -1.479513123868713037e-17 -1.515730810481985983e-18 2.000698670572169484e-17 -9.804696695601140708e-18 5.233351227916579028e-18 3.923527380041433131e-18 -1.210294064564953982e-17 1.106889904524262603e-17 -2.430723005509513220e-18 9.005098272143967745e-18 3.333547486695393544e-18 -1.053314415329099689e-18 -2.450326549775879487e-18 4.810219953691607952e-19 3.355885836724541826e-18 5.235716455188093983e-18
1.244359739372427098e-16 5.687270655037225062e-16 2.313940876887739551e-17 -3.903253514301070068e-18 -5.747577816858695599e-18 3.618118697673577846e-18 -1.107043690132363085e-18 -1.708818329164847174e-18 4.152239596820582161e-18 4.934135774917586167e-19 -5.220153186028816392e-19 7.259971313448950487e-18 3.870771263182750901e-18 -1.753435421001077957e-18 -4.392390773080929854e-19 -2.819936745282880630e-19 2.251832895165807477e-18 -9.775838085359136779e-19
-1.479513123868713037e-17 2.313940876887739551e-17 2.534191611368816230e-16 1.039721363709412835e-17 -1.539053599767310456e-18 5.840822141965849624e-18 4.168090840635124152e-18 1.321408707857837992e-18 -1.050597547469846033e-18 -5.889572551451569736e-19 2.184107094484061023e-18 1.040732641290727108e-18 -7.558630266832171501e-19 1.322607846123916242e-18 2.151185337378218649e-18 1.501418227736849874e-18 1.680766965054798373e-18 -9.304884630812619289e-20
-1.515730810481985983e-18 -3.903253514301070068e-18 1.039721363709412835e-17 9.634189665844618853e-17 5.422758999897812596e-18 3.357880020231886555e-18 1.749683164670324615e-18 1.752220551709430408e-18 -2.305328589406659572e-18 -3.661843870202355392e-19 -7.883281500289381808e-19 -3.738912489459729442e-19 -4.647961317783261242e-20 6.146229773672775145e-20 4.522650992897848926e-19 2.633697543292298560e-19 -2.911537223152025999e-19 7.403006176080463958e-19
2.000698670572169484e-17 -5.747577816858695599e-18 -1.539053599767310456e-18 5.422758999897812596e-18 4.871502095155431748e-17 5.158423246690290975e-18 2.801958280424966276e-20 2.223518303157719219e-18 9.703192044756638568e-20 1.267560131744156493e-18 5.243309006794231425e-19 9.717199127214504390e-19 2.646692730365753503e-19 2.629592647654435680e-20 1.435398898356405427e-19 -4.882184289261443833e-19 1.402229166210807029e-18 7.577679726672878826e-19
-9.804696695601140708e-18 3.618118697673577846e-18 5.840822141965849624e-18 3.357880020231886555e-18 5.158423246690290975e-18 2.990112838813234789e-17 9.656389264849591970e-19 4.554411020680619789e-19 9.351168655581515413e-19 9.696873775670621334e-19 5.615423655214777838e-19 1.283708238846606672e-18 1.906171611662470023e-19 4.956542347752264093e-19 5.359658505108651196e-19 2.614475715323507155e-19 5.742036380282988685e-19 8.610804754246794110e-20
5.233351227916579028e-18 -1.107043690132363085e-18 4.168090840635124152e-18 1.749683164670324615e-18 2.801958280424966276e-20 9.656389264849591970e-19 2.261333890534207233e-17 9.983846274762220688e-19 1.616409452060071248e-18 3.910046062524195017e-19 6.666454350704354706e-19 7.901150132562703065e-19 3.961652886758739629e-19 5.747394563896161500e-19 3.163611387304921159e-19 5.308745366557860299e-19 4.220833310943873566e-19 1.347065582788781509e-18
3.923527380041433131e-18 -1.708818329164847174e-18 1.321408707857837992e-18 1.752220551709430408e-18 2.223518303157719219e-18 4.554411020680619789e-19 9.983846274762220688e-19 2.297521292968386542e-17 2.080418640076245932e-18 4.827582869643306285e-20 2.910019659687379740e-19 6.817648055560274643e-19 5.319663000432872641e-19 3.037061601803914626e-19 7.940230340136846705e-19 7.405584080269184992e-19 4.586505332012362833e-20 1.569823103444166844e-19
-1.210294064564953982e-17 4.152239596820582161e-18 -1.050597547469846033e-18 -2.305328589406659572e-18 9.703192044756638568e-20 9.351168655581515413e-19 1.616409452060071248e-18 2.080418640076245932e-18 1.559761938958670113e-17 9.347830107139155831e-19 7.319993932409608581e-19 7.875528709158268750e-19 5.803749304821712011e-19 3.881549661657274604e-19 1.109774819353975680e-19 5.022982691667358839e-19 4.718628587849526238e-19 4.488307263817857633e-19
1.106889904524262603e-17 4.934135774917586167e-19 -5.889572551451569736e-19 -3.661843870202355392e-19 1.267560131744156493e-18 9.696873775670621334e-19 3.910046062524195017e-19 4.827582869643306285e-20 9.347830107139155831e-19 1.043574656594753012e-17 5.594971393246599253e-19 1.115488079818213690e-18 7.173204499325891018e-19 2.538043189685617910e-19 2.439177979948141136e-19 -1.729538619989400211e-19 3.329654700128140511e-19 -5.908797472923530379e-20
-2.430723005509513220e-18 -5.220153186028816392e-19 2.184107094484061023e-18 -7.883281500289381808e-19 5.243309006794231425e-19 5.615423655214777838e-19 6.666454350704354706e-19 2.910019659687379740e-19 7.319993932409608581e-19 5.594971393246599253e-19 7.426283152729168281e-18 3.319845574589628435e-19 1.381431013996399188e-19 4.036303525052864159e-19 1.719755098196516186e-19 3.326881549637180207e-19 3.331339977109867577e-19 4.512956535047385413e-19
9.005098272143967745e-18 7.259971313448950487e-18 1.040732641290727108e-18 -3.738912489459729442e-19 9.717199127214504390e-19 1.283708238846606672e-18 7.901150132562703065e-19 6.817648055560274643e-19 7.875528709158268750e-19 1.115488079818213690e-18 3.319845574589628435e-19 6.759311662584707589e-18 6.888809588804267343e-19 3.111926958855267455e-19 3.139647958460915204e-19 3.882705632311187427e-19 7.142594143359917907e-19 4.591331924108467227e-19
3.333547486695393544e-18 3.870771263182750901e-18 -7.558630266832171501e-19 -4.647961317783261242e-20 2.646692730365753503e-19 1.906171611662470023e-19 3.961652886758739629e-19 5.319663000432872641e-19 5.803749304821712011e-19 7.173204499325891018e-19 1.381431013996399188e-19 6.888809588804267343e-19 4.824885684071894379e-18 1.392443928114180065e-19 2.759862774575415876e-19 1.984930236792144564e-19 3.552652585121528647e-19 -4.977285238003672811e-22
-1.053314415329099689e-18 -1.753435421001077957e-18 1.322607846123916242e-18 6.146229773672775145e-20 2.629592647654435680e-20 4.956542347752264093e-19 5.747394563896161500e-19 3.037061601803914626e-19 3.881549661657274604e-19 2.538043189685617910e-19 4.036303525052864159e-19 3.111926958855267455e-19 1.392443928114180065e-19 3.388998275141301655e-18 2.529277441478211711e-19 2.149732198351487741e-19 2.933502452919747783e-19 4.209292761732756928e-19
-2.450326549775879487e-18 -4.392390773080929854e-19 2.151185337378218649e-18 4.522650992897848926e-19 1.435398898356405427e-19 5.359658505108651196e-19 3.163611387304921159e-19 7.940230340136846705e-19 1.109774819353975680e-19 2.439177979948141136e-19 1.719755098196516186e-19 3.139647958460915204e-19 2.759862774575415876e-19 2.529277441478211711e-19 2.942751703114701822e-18 2.810736012493214371e-19 4.492046760996083110e-19 5.657261798283848255e-19
4.810219953691607952e-19 -2.819936745282880630e-19 1.501418227736849874e-18 2.633697543292298560e-19 -4.882184289261443833e-19 2.614475715323507155e-19 5.308745366557860299e-19 7.405584080269184992e-19 5.022982691667358839e-19 -1.729538619989400211e-19 3.326881549637180207e-19 3.882705632311187427e-19 1.984930236792144564e-19 2.149732198351487741e-19 2.810736012493214371e-19 2.839769782946316022e-18 7.452463646893067635e-19 1.190063804348023084e-18
3.355885836724541826e-18 2.251832895165807477e-18 1.680766965054798373e-18 -2.911537223152025999e-19 1.402229166210807029e-18 5.742036380282988685e-19 4.220833310943873566e-19 4.586505332012362833e-20 4.718628587849526238e-19 3.329654700128140511e-19 3.331339977109867577e-19 7.142594143359917907e-19 3.552652585121528647e-19 2.933502452919747783e-19 4.492046760996083110e-19 7.452463646893067635e-19 3.645769604565896276e-18 1.861987537220438258e-18
5.235716455188093983e-18 -9.775838085359136779e-19 -9.304884630812619289e-20 7.403006176080463958e-19 7.577679726672878826e-19 8.610804754246794110e-20 1.347065582788781509e-18 1.569823103444166844e-19 4.488307263817857633e-19 -5.908797472923530379e-20 4.512956535047385413e-19 4.591331924108467227e-19 -4.977285238003672811e-22 4.209292761732756928e-19 5.657261798283848255e-19 1.190063804348023084e-18 1.861987537220438258e-18 6.525020754393874185e-18
